receipt_no,title,category,department,assignee,status,priority,channel,region,satisfaction,received_at,due_at,completed_at
2026-103233,문화행사 문의,문화/체육,문화체육과,정주무관,접수,보통,방문,연천군,,2025-07-11 12:55:20,2025-07-16 12:55:20,
2026-103314,체육시설 예약,문화/체육,문화체육과,조주무관,완료,보통,온라인,수원시,4,2025-07-11 17:50:59,2025-07-16 17:50:59,2025-07-21 17:50:59
2026-103057,문화행사 문의,문화/체육,문화체육과,강주무관,완료,낮음,이메일,고양시,5,2025-07-11 21:42:46,2025-07-16 21:42:46,2025-07-14 21:42:46
2026-100871,악취 발생 신고,환경,환경관리과,윤주무관,처리중,보통,온라인,성남시,,2025-07-12 06:57:26,2025-07-21 06:57:26,
2026-100353,노후축대 점검요청,안전,안전총괄과,김주무관,처리중,높음,전화,고양시,,2025-07-12 08:32:25,2025-07-20 08:32:25,
2026-103256,소음 공해 민원,환경,환경관리과,조주무관,접수,보통,이메일,광명시,,2025-07-12 08:36:50,2025-07-21 08:36:50,
2026-101719,증명서 발급 문의,행정,민원행정과,박주무관,완료,낮음,온라인,양평군,4,2025-07-12 08:44:10,2025-07-15 08:44:10,2025-07-18 08:44:10
2026-100374,불법 주정차 신고,도로/교통,도로관리과,김주무관,완료,높음,방문,수원시,,2025-07-12 09:25:06,2025-07-19 09:25:06,2025-07-14 09:25:06
2026-103983,화재위험 신고,안전,안전총괄과,김주무관,처리중,보통,전화,성남시,,2025-07-12 12:41:28,2025-07-20 12:41:28,
2026-101372,복지급여 문의,복지,사회복지과,강주무관,보류,보통,방문,용인시,,2025-07-12 14:17:36,2025-07-18 14:17:36,
2026-101736,신호등 고장 신고,도로/교통,도로관리과,김주무관,처리중,보통,방문,성남시,,2025-07-12 16:37:11,2025-07-19 16:37:11,
2026-101761,증명서 발급 문의,행정,민원행정과,박주무관,처리중,보통,전화,군포시,,2025-07-12 18:35:59,2025-07-15 18:35:59,
2026-101357,악취 발생 신고,환경,환경관리과,김주무관,완료,낮음,전화,이천시,5,2025-07-12 23:22:46,2025-07-21 23:22:46,2025-07-19 23:22:46
2026-100498,민원처리 지연 항의,행정,민원행정과,김주무관,완료,보통,방문,안양시,5,2025-07-13 13:50:13,2025-07-16 13:50:13,2025-07-18 13:50:13
2026-100041,불법 주정차 신고,도로/교통,도로관리과,조주무관,완료,낮음,전화,의왕시,5,2025-07-14 02:56:48,2025-07-21 02:56:48,2025-07-23 02:56:48
2026-103628,증명서 발급 문의,행정,민원행정과,윤주무관,완료,보통,온라인,군포시,5,2025-07-14 07:37:35,2025-07-17 07:37:35,2025-07-15 07:37:35
2026-100472,노후축대 점검요청,안전,안전총괄과,조주무관,완료,낮음,이메일,하남시,4,2025-07-14 09:18:29,2025-07-22 09:18:29,2025-07-25 09:18:29
2026-103196,재난위험시설 신고,안전,안전총괄과,강주무관,완료,보통,전화,수원시,5,2025-07-14 09:57:27,2025-07-22 09:57:27,2025-07-30 09:57:27
2026-102823,주택 누수 하자,건축/주택,건축과,이주무관,완료,높음,전화,양평군,5,2025-07-14 11:00:18,2025-07-26 11:00:18,2025-07-22 11:00:18
2026-100505,쓰레기 무단투기,환경,환경관리과,정주무관,처리중,보통,전화,파주시,,2025-07-14 12:35:28,2025-07-23 12:35:28,
2026-102490,소음 공해 민원,환경,환경관리과,윤주무관,완료,보통,방문,화성시,,2025-07-14 12:44:44,2025-07-23 12:44:44,2025-08-01 12:44:44
2026-100709,증명서 발급 문의,행정,민원행정과,김주무관,완료,보통,온라인,화성시,,2025-07-14 12:57:09,2025-07-17 12:57:09,2025-07-16 12:57:09
2026-102085,불법 주정차 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,안양시,,2025-07-14 13:25:41,2025-07-21 13:25:41,2025-07-15 13:25:41
2026-101525,민원처리 지연 항의,행정,민원행정과,윤주무관,처리중,보통,이메일,광주시,,2025-07-14 13:33:34,2025-07-17 13:33:34,
2026-100891,노인돌봄 신청,복지,사회복지과,이주무관,완료,보통,온라인,연천군,,2025-07-14 13:45:18,2025-07-20 13:45:18,2025-07-16 13:45:18
2026-103494,소음 공해 민원,환경,환경관리과,윤주무관,완료,높음,전화,포천시,1,2025-07-14 14:04:37,2025-07-23 14:04:37,2025-07-30 14:04:37
2026-100931,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,연천군,1,2025-07-14 14:17:40,2025-07-21 14:17:40,2025-07-15 14:17:40
2026-103263,악취 발생 신고,환경,환경관리과,윤주무관,보류,보통,이메일,용인시,,2025-07-14 15:49:05,2025-07-23 15:49:05,
2026-100383,소음 공해 민원,환경,환경관리과,김주무관,처리중,보통,온라인,용인시,,2025-07-14 16:21:05,2025-07-23 16:21:05,
2026-101326,불법 주정차 신고,도로/교통,도로관리과,이주무관,보류,보통,이메일,수원시,,2025-07-14 17:51:06,2025-07-21 17:51:06,
2026-102675,쓰레기 무단투기,환경,환경관리과,정주무관,처리중,보통,온라인,안양시,,2025-07-14 18:01:40,2025-07-23 18:01:40,
2026-100708,주택 누수 하자,건축/주택,건축과,김주무관,완료,보통,온라인,의왕시,3,2025-07-14 18:44:54,2025-07-26 18:44:54,2025-07-28 18:44:54
2026-100625,악취 발생 신고,환경,환경관리과,김주무관,완료,보통,이메일,양주시,1,2025-07-14 21:07:29,2025-07-23 21:07:29,2025-07-21 21:07:29
2026-100583,불법 주정차 신고,도로/교통,도로관리과,최주무관,완료,보통,방문,수원시,5,2025-07-14 21:54:01,2025-07-21 21:54:01,2025-07-17 21:54:01
2026-103307,도로 파손 신고,도로/교통,도로관리과,윤주무관,접수,높음,전화,성남시,,2025-07-15 06:44:45,2025-07-22 06:44:45,
2026-100634,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,보통,온라인,수원시,3,2025-07-15 07:08:03,2025-07-22 07:08:03,2025-07-28 07:08:03
2026-100978,쓰레기 무단투기,환경,환경관리과,윤주무관,완료,보통,온라인,화성시,3,2025-07-15 07:57:45,2025-07-24 07:57:45,2025-07-24 07:57:45
2026-100980,쓰레기 무단투기,환경,환경관리과,정주무관,처리중,높음,온라인,의정부시,,2025-07-15 08:38:18,2025-07-24 08:38:18,
2026-102120,악취 발생 신고,환경,환경관리과,조주무관,접수,높음,온라인,파주시,,2025-07-15 09:23:39,2025-07-24 09:23:39,
2026-103008,악취 발생 신고,환경,환경관리과,최주무관,반려,보통,방문,여주시,,2025-07-15 09:33:06,2025-07-24 09:33:06,
2026-100749,증명서 발급 문의,행정,민원행정과,박주무관,완료,보통,전화,안산시,4,2025-07-15 09:52:25,2025-07-18 09:52:25,2025-07-18 09:52:25
2026-102521,민원처리 지연 항의,행정,민원행정과,조주무관,완료,보통,온라인,가평군,5,2025-07-15 11:15:10,2025-07-18 11:15:10,2025-07-16 11:15:10
2026-102807,체육시설 예약,문화/체육,문화체육과,강주무관,완료,낮음,전화,안산시,,2025-07-15 11:32:47,2025-07-20 11:32:47,2025-07-24 11:32:47
2026-101147,쓰레기 무단투기,환경,환경관리과,윤주무관,처리중,보통,전화,수원시,,2025-07-15 11:34:06,2025-07-24 11:34:06,
2026-103111,도로 파손 신고,도로/교통,도로관리과,박주무관,처리중,보통,온라인,평택시,,2025-07-15 12:11:17,2025-07-22 12:11:17,
2026-102474,장애인 편의 요청,복지,사회복지과,김주무관,완료,보통,방문,구리시,4,2025-07-15 12:12:39,2025-07-21 12:12:39,2025-07-26 12:12:39
2026-103898,체육시설 예약,문화/체육,문화체육과,강주무관,완료,보통,전화,부천시,4,2025-07-15 13:16:39,2025-07-20 13:16:39,2025-07-25 13:16:39
2026-100450,장애인 편의 요청,복지,사회복지과,강주무관,보류,보통,온라인,시흥시,,2025-07-15 13:50:27,2025-07-21 13:50:27,
2026-101358,도로 파손 신고,도로/교통,도로관리과,최주무관,처리중,보통,온라인,가평군,,2025-07-15 13:52:01,2025-07-22 13:52:01,
2026-101640,불법건축물 신고,건축/주택,건축과,김주무관,완료,보통,이메일,고양시,5,2025-07-15 14:13:11,2025-07-27 14:13:11,2025-07-26 14:13:11
2026-101464,불법건축물 신고,건축/주택,건축과,최주무관,접수,낮음,전화,파주시,,2025-07-15 14:45:56,2025-07-27 14:45:56,
2026-101411,체육시설 예약,문화/체육,문화체육과,김주무관,완료,보통,방문,수원시,5,2025-07-15 15:32:20,2025-07-20 15:32:20,2025-07-24 15:32:20
2026-101070,신호등 고장 신고,도로/교통,도로관리과,김주무관,완료,낮음,온라인,광주시,2,2025-07-15 16:15:27,2025-07-22 16:15:27,2025-07-24 16:15:27
2026-101024,장애인 편의 요청,복지,사회복지과,최주무관,완료,보통,전화,구리시,3,2025-07-15 19:33:10,2025-07-21 19:33:10,2025-07-20 19:33:10
2026-100199,노인돌봄 신청,복지,사회복지과,윤주무관,처리중,보통,온라인,수원시,,2025-07-16 07:54:50,2025-07-22 07:54:50,
2026-101750,노인돌봄 신청,복지,사회복지과,조주무관,완료,낮음,온라인,안성시,2,2025-07-16 09:16:38,2025-07-22 09:16:38,2025-07-20 09:16:38
2026-101331,도로 파손 신고,도로/교통,도로관리과,김주무관,보류,낮음,이메일,포천시,,2025-07-16 12:21:01,2025-07-23 12:21:01,
2026-102752,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,낮음,전화,광명시,2,2025-07-16 12:42:05,2025-07-23 12:42:05,2025-07-23 12:42:05
2026-102405,복지급여 문의,복지,사회복지과,강주무관,완료,높음,전화,고양시,,2025-07-16 12:46:43,2025-07-22 12:46:43,2025-07-21 12:46:43
2026-101504,도서관 운영 건의,문화/체육,문화체육과,박주무관,접수,낮음,방문,용인시,,2025-07-16 12:50:21,2025-07-21 12:50:21,
2026-103311,쓰레기 무단투기,환경,환경관리과,이주무관,완료,보통,온라인,가평군,,2025-07-16 13:59:25,2025-07-25 13:59:25,2025-07-17 13:59:25
2026-101810,증명서 발급 문의,행정,민원행정과,조주무관,완료,높음,온라인,부천시,5,2025-07-16 14:18:55,2025-07-19 14:18:55,2025-07-18 14:18:55
2026-103461,노후축대 점검요청,안전,안전총괄과,정주무관,완료,보통,전화,부천시,4,2025-07-16 17:06:07,2025-07-24 17:06:07,2025-07-19 17:06:07
2026-103726,건축허가 문의,건축/주택,건축과,최주무관,완료,보통,온라인,군포시,,2025-07-16 23:50:02,2025-07-28 23:50:02,2025-07-23 23:50:02
2026-100260,쓰레기 무단투기,환경,환경관리과,김주무관,접수,높음,전화,성남시,,2025-07-17 07:54:02,2025-07-26 07:54:02,
2026-100054,주택 누수 하자,건축/주택,건축과,정주무관,완료,높음,이메일,가평군,5,2025-07-17 09:13:47,2025-07-29 09:13:47,2025-07-29 09:13:47
2026-103547,불법 주정차 신고,도로/교통,도로관리과,김주무관,처리중,보통,전화,안산시,,2025-07-17 10:17:11,2025-07-24 10:17:11,
2026-102950,건축허가 문의,건축/주택,건축과,김주무관,접수,높음,온라인,구리시,,2025-07-17 11:04:29,2025-07-29 11:04:29,
2026-103597,도서관 운영 건의,문화/체육,문화체육과,이주무관,처리중,낮음,온라인,수원시,,2025-07-17 12:27:56,2025-07-22 12:27:56,
2026-103643,복지급여 문의,복지,사회복지과,김주무관,완료,낮음,온라인,수원시,,2025-07-17 12:42:34,2025-07-23 12:42:34,2025-07-25 12:42:34
2026-102413,건축허가 문의,건축/주택,건축과,김주무관,처리중,보통,전화,구리시,,2025-07-17 12:47:43,2025-07-29 12:47:43,
2026-102892,불법건축물 신고,건축/주택,건축과,최주무관,완료,보통,온라인,용인시,5,2025-07-17 13:15:08,2025-07-29 13:15:08,2025-07-18 13:15:08
2026-103913,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,안산시,3,2025-07-17 13:29:00,2025-07-24 13:29:00,2025-07-31 13:29:00
2026-103840,악취 발생 신고,환경,환경관리과,김주무관,완료,높음,이메일,수원시,,2025-07-17 14:42:55,2025-07-26 14:42:55,2025-07-27 14:42:55
2026-103190,악취 발생 신고,환경,환경관리과,최주무관,처리중,낮음,온라인,오산시,,2025-07-17 14:57:28,2025-07-26 14:57:28,
2026-100399,신호등 고장 신고,도로/교통,도로관리과,박주무관,접수,보통,이메일,수원시,,2025-07-17 16:58:35,2025-07-24 16:58:35,
2026-100282,도서관 운영 건의,문화/체육,문화체육과,정주무관,처리중,보통,방문,구리시,,2025-07-17 18:42:22,2025-07-22 18:42:22,
2026-101515,악취 발생 신고,환경,환경관리과,정주무관,완료,낮음,이메일,용인시,4,2025-07-17 21:09:10,2025-07-26 21:09:10,2025-08-03 21:09:10
2026-102879,장애인 편의 요청,복지,사회복지과,이주무관,처리중,보통,전화,광주시,,2025-07-18 01:44:00,2025-07-24 01:44:00,
2026-103327,신호등 고장 신고,도로/교통,도로관리과,이주무관,보류,보통,이메일,고양시,,2025-07-18 06:33:43,2025-07-25 06:33:43,
2026-100541,행정서류 재발급,행정,민원행정과,조주무관,완료,높음,전화,파주시,3,2025-07-18 07:19:07,2025-07-21 07:19:07,2025-07-21 07:19:07
2026-101418,도로 파손 신고,도로/교통,도로관리과,강주무관,완료,높음,이메일,용인시,4,2025-07-18 07:38:39,2025-07-25 07:38:39,2025-07-22 07:38:39
2026-100521,재난위험시설 신고,안전,안전총괄과,김주무관,접수,높음,온라인,수원시,,2025-07-18 08:37:22,2025-07-26 08:37:22,
2026-103544,민원처리 지연 항의,행정,민원행정과,박주무관,접수,보통,방문,부천시,,2025-07-18 10:19:13,2025-07-21 10:19:13,
2026-102771,장애인 편의 요청,복지,사회복지과,박주무관,완료,높음,이메일,고양시,,2025-07-18 11:24:08,2025-07-24 11:24:08,2025-07-22 11:24:08
2026-100214,신호등 고장 신고,도로/교통,도로관리과,조주무관,처리중,보통,방문,고양시,,2025-07-18 11:45:39,2025-07-25 11:45:39,
2026-103240,소음 공해 민원,환경,환경관리과,최주무관,처리중,보통,전화,성남시,,2025-07-18 12:07:16,2025-07-27 12:07:16,
2026-103513,소음 공해 민원,환경,환경관리과,이주무관,접수,높음,온라인,고양시,,2025-07-18 12:15:02,2025-07-27 12:15:02,
2026-102150,행정서류 재발급,행정,민원행정과,최주무관,처리중,보통,온라인,가평군,,2025-07-18 13:23:36,2025-07-21 13:23:36,
2026-102601,도서관 운영 건의,문화/체육,문화체육과,강주무관,완료,보통,전화,하남시,1,2025-07-18 13:41:43,2025-07-23 13:41:43,2025-07-24 13:41:43
2026-101141,노후축대 점검요청,안전,안전총괄과,김주무관,완료,보통,온라인,과천시,5,2025-07-18 13:56:22,2025-07-26 13:56:22,2025-08-03 13:56:22
2026-101917,악취 발생 신고,환경,환경관리과,강주무관,완료,보통,전화,양주시,,2025-07-18 14:26:08,2025-07-27 14:26:08,2025-08-01 14:26:08
2026-102171,복지급여 문의,복지,사회복지과,강주무관,처리중,낮음,온라인,오산시,,2025-07-18 14:37:57,2025-07-24 14:37:57,
2026-100190,복지급여 문의,복지,사회복지과,강주무관,완료,높음,방문,김포시,4,2025-07-18 15:32:47,2025-07-24 15:32:47,2025-07-30 15:32:47
2026-102217,건축허가 문의,건축/주택,건축과,조주무관,완료,보통,방문,시흥시,2,2025-07-18 16:40:26,2025-07-30 16:40:26,2025-07-23 16:40:26
2026-102049,신호등 고장 신고,도로/교통,도로관리과,강주무관,접수,보통,방문,고양시,,2025-07-18 16:48:31,2025-07-25 16:48:31,
2026-101107,행정서류 재발급,행정,민원행정과,최주무관,완료,보통,온라인,고양시,4,2025-07-18 17:23:36,2025-07-21 17:23:36,2025-07-24 17:23:36
2026-102017,복지급여 문의,복지,사회복지과,정주무관,완료,보통,방문,광주시,5,2025-07-18 17:43:42,2025-07-24 17:43:42,2025-07-20 17:43:42
2026-100221,불법 주정차 신고,도로/교통,도로관리과,이주무관,완료,낮음,전화,광주시,,2025-07-18 18:56:41,2025-07-25 18:56:41,2025-07-23 18:56:41
2026-101279,증명서 발급 문의,행정,민원행정과,최주무관,처리중,높음,온라인,용인시,,2025-07-18 19:13:06,2025-07-21 19:13:06,
2026-103902,건축허가 문의,건축/주택,건축과,이주무관,처리중,보통,온라인,시흥시,,2025-07-18 20:45:53,2025-07-30 20:45:53,
2026-100940,쓰레기 무단투기,환경,환경관리과,박주무관,처리중,보통,이메일,시흥시,,2025-07-19 04:53:37,2025-07-28 04:53:37,
2026-101484,민원처리 지연 항의,행정,민원행정과,김주무관,반려,보통,방문,의왕시,,2025-07-19 07:19:24,2025-07-22 07:19:24,
2026-100484,불법건축물 신고,건축/주택,건축과,박주무관,처리중,보통,온라인,화성시,,2025-07-19 11:50:13,2025-07-31 11:50:13,
2026-100365,악취 발생 신고,환경,환경관리과,윤주무관,접수,보통,온라인,성남시,,2025-07-19 12:07:44,2025-07-28 12:07:44,
2026-100339,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,낮음,이메일,동두천시,5,2025-07-19 12:11:36,2025-07-26 12:11:36,2025-08-02 12:11:36
2026-101347,화재위험 신고,안전,안전총괄과,강주무관,완료,보통,전화,광주시,3,2025-07-19 12:32:55,2025-07-27 12:32:55,2025-07-29 12:32:55
2026-100974,불법 주정차 신고,도로/교통,도로관리과,박주무관,완료,보통,전화,용인시,,2025-07-19 16:29:32,2025-07-26 16:29:32,2025-07-28 16:29:32
2026-103480,도로 파손 신고,도로/교통,도로관리과,이주무관,보류,낮음,전화,의왕시,,2025-07-19 19:18:21,2025-07-26 19:18:21,
2026-101352,민원처리 지연 항의,행정,민원행정과,박주무관,처리중,보통,온라인,수원시,,2025-07-19 20:26:29,2025-07-22 20:26:29,
2026-102576,민원처리 지연 항의,행정,민원행정과,박주무관,완료,보통,온라인,부천시,2,2025-07-20 09:58:24,2025-07-23 09:58:24,2025-07-24 09:58:24
2026-103230,화재위험 신고,안전,안전총괄과,최주무관,완료,보통,전화,연천군,,2025-07-20 12:24:03,2025-07-28 12:24:03,2025-07-22 12:24:03
2026-102673,신호등 고장 신고,도로/교통,도로관리과,김주무관,보류,낮음,이메일,성남시,,2025-07-20 13:02:27,2025-07-27 13:02:27,
2026-100578,불법 주정차 신고,도로/교통,도로관리과,김주무관,처리중,보통,이메일,시흥시,,2025-07-20 16:33:27,2025-07-27 16:33:27,
2026-102088,재난위험시설 신고,안전,안전총괄과,박주무관,완료,보통,온라인,김포시,4,2025-07-20 17:20:26,2025-07-28 17:20:26,2025-08-03 17:20:26
2026-100188,행정서류 재발급,행정,민원행정과,김주무관,완료,보통,이메일,과천시,,2025-07-20 17:36:42,2025-07-23 17:36:42,2025-07-21 17:36:42
2026-100228,도로 파손 신고,도로/교통,도로관리과,김주무관,접수,보통,온라인,파주시,,2025-07-21 09:30:49,2025-07-28 09:30:49,
2026-102846,불법 주정차 신고,도로/교통,도로관리과,박주무관,완료,보통,온라인,안산시,2,2025-07-21 10:13:51,2025-07-28 10:13:51,2025-08-01 10:13:51
2026-101099,악취 발생 신고,환경,환경관리과,김주무관,완료,보통,온라인,의정부시,3,2025-07-21 10:48:10,2025-07-30 10:48:10,2025-07-23 10:48:10
